index,tag,depth,id,classes,attrs,inner_text_len
12,script,3,,,"{""defer"": """", ""src"": ""/xjs/_/js/k=xjs.hd.en.Q-V-9IzyzH8.2019.O/am=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQIAAAAIAgAAAAAAAAAAAADAAEAAAAAAAAAAAAAAAAAAAAAECAIEAAEAAAAAAAAAgAAAAAAAIAAAAAAAAAMACAAIoAAAABgAAAAAAAAAAAAAAAAAAAAAAEIAAAAIAADAHxhgBAAAAAAAAAAgAQAAAAAAAAAAYAEAABIAAABAAAQAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAABAAAACAAgAAAAAEAAAAAAAAAAAAAAAAAAAAAAAAgAAAAAAAAAAAAAAAAAAEAFAAAEAAABAAAAAAAAAAAAAAAAAAADoAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAIEAAAAAAAAACAAAABAAAA6AAIPMCQggIAAAAAAAAAAAAAAAAAAAAAAAAAQAAFsAupIAACAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAg9BQAAAAAAsBg/d=1/ed=1/dg=4/rs=ACT90oFaVvg2TngvTyDCZE2fR2CjNDJ2kA/ee=ALeJib:B8gLwd;AfeaP:TkrAjf;BMxAGc:E5bFse;BgS6mb:fidj5d;BjwMce:cXX2Wb;CIZTGb:Kqhykb;CxXAWb:YyRLvc;DQEued:Fevhcf;DULqB:RKfG5c;Dkk6ge:JZmW9e;DpcR3d:zL72xf;EABSZ:MXZt9d;ESrPQc:mNTJvc;EVNhjf:pw70Gc;EjXHpb:pSHqh;EmZ2Bf:zr1jrb;EnlcNd:WeHg4;F54IAe:ZgsFh;F9mqte:UoRcbe;FSxmUe:fiZR8b;Fkukfc:i8H2c;Fmv9Nc:O1Tzwc;G0KhTb:LIaoZ;GleZL:J1A7Od;HMDDWe:G8QUdb;HtPxrd:Gx8jAb;IBADCc:RYquRb;IoGlCf:b5lhvb;IsdWVc:qzxzOb;JXJSm:ii1RGf;JXS8fb:Qj0suc;JqSq7d:y9ePhe;JsbNhc:Xd8iUd;K08hxe:zmbGlf;K5nYTd:ZDZcre;KA3P2:C3JnCe;KDb6nb:fE9n2;KOxcK:OZqGte;KQzWid:ZMKkN;KdIHef:BWtNj;KpRAue:Tia57b;LBgRLc:SdcwHb,XVMNvd;LBn8Cf:bJ9L0c;LEikZe:byfTOb,lsjVmc;LXA8b:q7OdKd;LsNahb:ucGLNb;MNkAde:KMCd1d;NJ1rfe:qTnoBf;NPKaK:SdcwHb;NSEoX:lazG7b;NjIwef:YVgi7d;Np8Qkd:Dpx6qc;Nyt6ic:jn2sGd;OIfWUb:qfOYcd;OgagBe:cNTe0;OiqE2c:TFpEK;OoK5v:Sp69O;OohIYe:mpEAQb;Pjplud:PoEs9b;PpTLXd:pJYjx;Q1Ow7b:x5CSu;Q7iJ9c:bVLZ3d;QE20Be:gIltO;QFOGlf:PQ2Aoe;QGR0gd:Mlhmy;QYLF2b:pAQYUd;Qw8Feb:jpavUe;R4IIIb:QWfeKf;R9Ulx:CR7Ufe;RCF5Sd:X1kBmd;Raf5me:mgvFMc;SLtqO:Kh1xYe;SMDL4c:fTfGO;SNUn3:ZwDk9d,xD8Kp;SNk4Je:wWMhg;ScI3Yc:e7Hzgb,e7Hzgb;ShpF6e:N0pvGc;Snahre:mGCtob;SwCqAd:fXbCZc;SzQQ3e:dNhofb;TIUVQd:lWTJwd;TroZ1d:vVVzjb;U96pRd:FsR04;UBKJZ:LGDJGb;UDrY1c:N0F29d,W50NVd,eps46d,wciyUe;UVmjEd:EesRsb;UVzb9c:IvPZ6d;UYRIEb:HzTAQc;UyG7Kb:wQd0G;V2HTTe:RolTY;VGRfx:VFqbr;VMuEm:pL7sBc;VN6jIc:ddQyuf;VOcgDe:YquhTb;VhA7bd:vAmQFf;VsAqSb:PGf2Re;W9QSQe:ynCWwc;WDGyFe:jcVOxd;WXtNeb:QU9BMd;Wfmdue:g3MJlb;Wl55ib:vgbiKb;Y3c5sd:FGbfLe;YIZmRd:A1yn5d;YV5bee:IvPZ6d;YnHUBf:sNsSob;ZSH6tc:QAvyLe;ZWEUA:afR4Cf;ZlOOMb:P0I0Ec;a56pNe:JEfCwb;aAJE9c:WHW6Ef;aCJ9tf:qKftvc;aVZq3e:EMeVIb;aZ61od:arTwJ;aci7y:Z5Tr6c;bUIkwb:WMwEHe;bcPXSc:gSZLJb;cEt90b:ws9Tlc;cFTWae:gT8qnd;dIoSBb:ZgGg9b;dLlj2:Qqt3Gf;dXdZV:a7QTqd;dowIGb:ebZ3mb,ebZ3mb;dtl0hd:lLQWFe;eBAeSb:Ck63tb;eBZ5Nd:audvde;eHDfl:ofjVkb;eJKchc:ATg1be;eO3lse:UefOmb;euOXY:OZjbQ;g8nkx:U4MzKc;gaub4:TN6bMe;gbfHR:qZtzib;gtVSi:ekUOYd;h3MYod:ws9Tlc;hK67qb:QWEO5b;hVic1b:Kqhykb;heHB1:sFczq;hjRo6e:F62sG;hlqGX:FWz1ic;hsLsYc:Vl118;hwoVHd:zw4U8c;iFQyKf:QIhFr;jJj2G:kF2o2b;k1O0rf:pnOULd;k2Qxcb:XY51pe;kbAm9d:MkHyGd;lOO0Vd:OTA3Ae;lbfkyf:MqGdUd;liAz7d:kF2o2b;mMVOGb:qDM7K;mWzs9c:fz5ukf;nBZnZe:CvErjb;nE6OJf:Fi4rsc;nEBWNb:MxKX9d;nJw4Gd:dPFZH;nrDcw:SuEoDe;oGtAuc:sOXFj;oSUNyd:fTfGO,fTfGO;oUlnpc:RagDlc;oiBhre:OuMkRd;okUaUd:wItadb;pKJiXd:VCenhc;pNsl2d:j9Yuyc;pXdRYb:JKoKVe;pj82le:ww04Df;qGV2uc:HHi04c;qQEoOc:KUM7Z,d7YSfd;qZx2Fc:j0xrE;qaS3gd:yiLg6e;qafBPd:sgY6Zb;qavrXe:I0C9u;qddgKe:d7YSfd,x4FYXe;rdexKf:FEkKD;rmWaj:PMS6Sd;ropkZ:hjoqoe;sTsDMc:JksfDf;sZmdvc:rdGEfc;tH4IIe:Ymry6;teSRSb:BMLai;tosKvd:ZCqP3;trZL0b:qY8PFe;uuQkY:u2V3ud;vEYCNb:FaqsVd;vRlMvf:Iw9Xo;vfVwPd:lcrkwe;w3bZCb:ZPGaIb;w9w86d:XwhUEb,dt4g2b,gKD90c,lWVZVe;wQlYve:aLUfP;wR5FRb:O1Gjze,TtcOte;wV5Pjc:L8KGxe;x9N9ie:KH4Qof;xBbsrc:NEW1Qc;xpaRob:AVqZ9b;yiL5Ab:MT0ZBd;ysNiMc:CpIBjd;yxTchf:KUM7Z;z97YGf:oug9te;zaIgPb:Sl0pxd/m=cdos,hsm,jsa,mb4ZUb,cEt90b,SNUn3,qddgKe,sTsDMc,dtl0hd,eHDfl,YV5bee,d,csi?cb=121509378"", ""nonce"": ""BvLJcOA6-KMUoINCrboOLg""}",0
13,script,3,,,"{""nonce"": ""BvLJcOA6-KMUoINCrboOLg""}",1893
14,body,2,,,"{""jsmodel"": ""hspDDf ""}",415
15,div,3,ZnpjSd,,{},0
16,div,3,,L3eUgb,"{""jsname"": ""dtlGSb"", ""jsmodel"": """", ""jscontroller"": ""HGv0mf"", ""jsaction"": ""rcuQ6b:npT2md;IQOavd:DfLYCc;CRW1we:y4Phc;vmxUb:gYK4dd;zbpGPd:zdnavd;yGaBb:ugZYQd;rBQ22:cLZhNe;krs7Sc:yeoiVc;qBi8wc:Klozif;"", ""data-hale"": ""0"", ""data-hveid"": ""1""}",404
17,div,4,ZnpjSd,,{},0
18,div,4,,o3j99 n1xJcf CoM3Df,"{""role"": ""navigation""}",28
19,a,5,,w5hRs,"{""href"": ""https://about.google/?fg=1&utm_source=google-US&utm_medium=referral&utm_campaign=hp-header"", ""ping"": ""/url?sa=t&rct=j&source=webhp&url=https://about.google/%3Ffg%3D1%26utm_source%3Dgoogle-US%26utm_medium%3Dreferral%26utm_campaign%3Dhp-header&ved=0ahUKEwjhv47O1_iVAxV3BUQIHamVESsQkNQCCAI&opi=89978449""}",5
20,a,5,,w5hRs,"{""href"": ""https://store.google.com/US?utm_source=hp_header&utm_medium=google_ooo&utm_campaign=GS100042&hl=en-US"", ""ping"": ""/url?sa=t&rct=j&source=webhp&url=https://store.google.com/US%3Futm_source%3Dhp_header%26utm_medium%3Dgoogle_ooo%26utm_campaign%3DGS100042%26hl%3Den-US&ved=0ahUKEwjhv47O1_iVAxV3BUQIHamVESsQpMwCCAM&opi=89978449""}",5
21,div,5,,AorTac,{},18
22,div,6,,,{},18
23,header,7,gb,gb_y gb_Nd,"{""role"": ""none""}",18
24,div,8,,gb_R gb_8 gb_1f gb_8f,"{""data-ogbl"": """"}",11
25,div,9,,gb_7 gb_8,{},5
26,a,10,,gb_6,"{""aria-label"": ""Gmail "", ""data-pid"": ""23"", ""href"": ""https://mail.google.com/mail/&ogbl"", ""target"": ""_top""}",5
27,div,9,,gb_7 gb_8,{},6
28,a,10,,gb_6,"{""aria-label"": ""Search for Images "", ""data-pid"": ""2"", ""href"": ""https://www.google.com/imghp?hl=en&ogbl"", ""target"": ""_top""}",6
29,div,8,gbwa,gb_L gb_Ed gb_8,"{""data-ogsr-fb"": ""true"", ""data-ogsr-alt"": """"}",0
30,div,9,,gb_D,{},0
31,a,10,,gb_C,"{""aria-label"": ""Google apps"", ""href"": ""https://www.google.com/intl/en/about/products"", ""aria-expanded"": ""false"", ""role"": ""button"", ""tabindex"": ""0""}",0
32,svg,11,,gb_H,"{""aria-hidden"": ""true"", ""focusable"": ""false"", ""viewbox"": ""0 0 24 24""}",0
33,path,12,,,"{""d"": ""M6,8c1.1,0 2,-0.9 2,-2s-0.9,-2 -2,-2 -2,0.9 -2,2 0.9,2 2,2zM12,20c1.1,0 2,-0.9 2,-2s-0.9,-2 -2,-2 -2,0.9 -2,2 0.9,2 2,2zM6,20c1.1,0 2,-0.9 2,-2s-0.9,-2 -2,-2 -2,0.9 -2,2 0.9,2 2,2zM6,14c1.1,0 2,-0.9 2,-2s-0.9,-2 -2,-2 -2,0.9 -2,2 0.9,2 2,2zM12,14c1.1,0 2,-0.9 2,-2s-0.9,-2 -2,-2 -2,0.9 -2,2 0.9,2 2,2zM16,6c0,1.1 0.9,2 2,2s2,-0.9 2,-2 -0.9,-2 -2,-2 -2,0.9 -2,2zM12,8c1.1,0 2,-0.9 2,-2s-0.9,-2 -2,-2 -2,0.9 -2,2 0.9,2 2,2zM18,14c1.1,0 2,-0.9 2,-2s-0.9,-2 -2,-2 -2,0.9 -2,2 0.9,2 2,2zM18,20c1.1,0 2,-0.9 2,-2s-0.9,-2 -2,-2 -2,0.9 -2,2 0.9,2 2,2z""}",0
34,image,12,,,"{""src"": ""https://ssl.gstatic.com/gb/images/bar/al-icon.png"", ""alt"": """", ""height"": ""24"", ""width"": ""24"", ""style"": ""border:none;display:none \\9""}",0
35,div,8,,gb_z,"{""data-ogsr-up"": """"}",7
36,a,9,,gb_A,"{""aria-label"": ""Sign in"", ""href"": ""https://accounts.google.com/ServiceLogin?hl=en&passive=true&continue=https://www.google.com/&ec=futura_exp_og_so_72776762_e"", ""target"": ""_top""}",7
37,span,10,,gb_2,{},7
38,div,4,,xcYc4b,{},0
39,div,4,,,{},0
40,div,5,,X1pLC,"{""jscontroller"": ""r8E4Ze"", ""jsname"": ""LNItVb"", ""jsaction"": ""qBi8wc:Ozr0Hb""}",0
41,header,6,,,{},0
42,header,7,,RHL8Vb,"{""jsname"": ""kNXmHc""}",0
43,div,8,,VHYc8b iZUKEe,"{""jsname"": ""DPgPjf""}",0
44,a,9,,,"{""href"": ""https://www.google.com/webhp?hl=en&ictx=0&sa=X&ved=0ahUKEwjhv47O1_iVAxV3BUQIHamVESsQPAgE"", ""aria-label"": ""Go to Google home"", ""data-hveid"": ""4""}",0
45,svg,10,,,"{""aria-hidden"": ""true"", ""height"": ""34"", ""width"": ""34"", ""focusable"": ""false"", ""xmlns"": ""http://www.w3.org/2000/svg"", ""viewbox"": ""0 0 24 24""}",0
46,clippath,11,_A11qaqGyEveKkPIPqavG2AI_1,,{},0
47,path,12,,,"{""d"": ""M12 10v4.5h6.47c-.5 2.7-3 4.74-6.47 4.74-3.9 0-7.1-3.3-7.1-7.25S8.1 4.75 12 4.75c1.8 0 3.35.6 4.6 1.8l3.4-3.4C18 1.2 15.24 0 12 0 5.4 0 0 5.4 0 12s5.4 12 12 12c7 0 11.5-4.9 11.5-11.7 0-.8-.1-1.54-.2-2.3H12z""}",0
48,filter,11,_A11qaqGyEveKkPIPqavG2AI_2,,{},0
49,fegaussianblur,12,,,"{""stddeviation"": ""1""}",0
50,g,11,,,"{""style"": ""clip-path:url(#_A11qaqGyEveKkPIPqavG2AI_1)""}",0
51,foreignobject,12,,,"{""style"": ""filter:url(#_A11qaqGyEveKkPIPqavG2AI_2)"", ""height"": ""28"", ""transform"": ""translate(-2,-2)"", ""width"": ""28""}",0
52,div,13,,,"{""style"": ""width:100%;height:100%;background:conic-gradient(#FF4641,#FD5061 40deg,#FD5061 60deg,#3186FF 85deg,#3186FF 117deg,#00A5B7 142deg,#0EBC5F 167deg,#0EBC5F 200deg,#6CC500 226deg,#FFCC00 253deg,#FFD314 268deg,#FFCC00 292deg,#FF4641 327deg)""}",0
53,rect,12,,,"{""fill"": ""#3186FF"", ""height"": ""8"", ""width"": ""16"", ""x"": ""11"", ""y"": ""8""}",0
54,div,6,j6sJ2c,yp,"{""jsname"": ""WV63Te"", ""data-jiis"": ""up"", ""data-async-type"": ""folif"", ""data-ved"": ""0ahUKEwjhv47O1_iVAxV3BUQIHamVESsQg5gUCAU""}",0
55,div,4,LS8OJ,o3j99 LLD4me yr19Zb LS8OJ,{},20
56,div,5,,k1zIA rSk4se,{},0
57,svg,6,,lnXdpd,"{""aria-label"": ""Google"", ""height"": ""92"", ""role"": ""img"", ""viewbox"": ""0 0 272 92"", ""width"": ""272"", ""xmlns"": ""http://www.w3.org/2000/svg""}",0
58,path,7,,,"{""d"": ""M31.32 70.33c17.65.17 29.67-11.68 29.67-29.92q.01-2.29-.43-5.08H31.2v8.76h20.6c-1.1 11.47-9.18 17.44-20.27 17.44-12.44 0-21.96-9.35-21.96-22.94 0-13.41 9.1-22.77 21.96-22.77 6.48 0 11.26 2 16.04 6.9l6.14-6.43c-5.38-6.3-13.16-9.31-22.3-9.31C13.7 6.98 0 20.27 0 38.46c0 17.4 13.25 31.7 31.32 31.87"", ""fill"": ""#3186FF""}",0
59,path,7,,,"{""d"": ""M88.2 70.33c13.2 0 22.77-9.69 22.77-23.15 0-13.2-9.35-22.98-22.77-22.98-12.7 0-22.68 9.02-22.68 22.98 0 13.33 9.43 23.15 22.68 23.15m0-8.04c-8.04 0-13.67-6.6-13.67-15.1s5.93-14.95 13.67-14.95c8.17 0 13.67 6.6 13.67 14.94 0 8.64-5.63 15.11-13.67 15.11"", ""fill"": ""#FC413D""}",0
60,path,7,,,"{""d"": ""M137.42 70.33c13.29 0 22.77-9.73 22.77-23.15 0-13.2-9.35-22.98-22.77-22.98-12.7 0-22.68 9.02-22.68 22.98 0 13.33 9.43 23.15 22.68 23.15m0-8.04c-8.04 0-13.67-6.6-13.67-15.1s5.93-14.95 13.67-14.95c8.17 0 13.67 6.6 13.67 14.94 0 8.64-5.63 15.11-13.67 15.11"", ""fill"": ""#FFBE00""}",0
61,path,7,,,"{""d"": ""M185.37 88.57q21.51 0 21.5-24.63V25.77h-8.8v5.37h-.17c-2.75-4.27-7.96-6.68-13.84-6.68-12.7 0-20.44 9.69-20.44 22.6 0 12.86 7.53 22.34 20.78 22.34 6.52 0 11.34-3.72 13.37-6.77h.3v3.94c0 8.67-4.49 13.8-12.82 13.8-5.46 0-9.1-3.01-11.77-8.05l-7.96 3.52c4.2 8.84 10.16 12.73 19.85 12.73m0-27.55c-7.74 0-12.7-5.71-12.7-14.22 0-8.2 4.92-14.13 12.75-14.13s12.65 5.5 12.65 14.09c0 8.68-5.08 14.26-12.7 14.26"", ""fill"": ""#3186FF""}",0
62,path,7,,,"{""d"": ""M222.91 8.33h-9.22v60.6h9.22z"", ""fill"": ""#00AF57""}",0
63,path,7,,,"{""d"": ""M250.17 70.25a22.1 22.1 0 0 0 19-10.54l-6.86-4.49c-3 4.2-7.1 6.6-11.72 6.6a13.6 13.6 0 0 1-11.93-7.23l30.93-13.12a20 20 0 0 0-.84-3.22c-3.69-9.48-10.12-13.8-18.8-13.8-13.24 0-22.25 9.66-22.25 23.03 0 13.67 9.47 22.77 22.47 22.77m-13.5-22.81v-.51c0-8.76 5.03-14.64 12.95-14.64 3.76 0 7.15 1.69 9.44 5.67z"", ""fill"": ""#FC413D""}",0
64,div,5,,k1zIA VntuPb DYz2A,"{""aria-level"": ""1"", ""role"": ""heading""}",20
65,span,6,,HeJfy,{},20
66,div,4,,o3j99 ikrT4e KEY6ib,{},147
67,dialog,5,spch-dlg,spch-dlg,{},0
68,div,6,spch,spch,"{""style"": ""display:none""}",0
69,form,5,,,"{""action"": ""/search"", ""autocomplete"": ""off"", ""method"": ""GET"", ""role"": ""search""}",147
70,div,6,,,"{""jsmodel"": ""b5W85 vNzKHd"", ""jsdata"": ""MuIEvd;_;A11qaqGyEveKkPIPqavG2AI1""}",147
71,div,7,,A8SBwf,"{""jscontroller"": ""cnjECf"", ""jsmodel"": ""kjkykd EPRt9d LM7wx Qlyryb EtCx8b Ip3Erc L97mud  CoyuFb  WneCke wWMhg        YHnUBc"", ""data-alt"": ""false"", ""data-biboe"": ""false"", ""data-blu"": ""https://lens.google.com"", ""data-expids"": """", ""data-hp"": ""true"", ""jsdata"": ""LVplcb;_;"", ""jsaction"": ""lX6RWd:w3Wsmc;aaFXSd:k0wtTd;ocDSvd:duwfG;XmGRxb:mVw6nb;R6Slyc:F3goue;FU8dpd:VH3XBb;DkpM0b:d3sQLd;IQOavd:dFyQEf;XzZZPe:jI3wzf;Aghsf:AVsnlb;iHd9U:Q7Cnrc;f5hEHe:G0jgYd;vmxUb:j3bJnb;XBqW7:ihYaWc;UkQk6c:VSb4De;nTzfpf:YPRawb;CudXPd:iu9yrc;R2c5O:LuRugf;qiCkJd:ANdidc;Q3vWPd:FtWxqb;NOg9L:HLgh3;zLdLw:eaGBS;H9muVd:J4e6lb;S8pxKe:u3rcXd;hBEIVb:nUZ9le;acb7qb:H8sTz;by9jW:LGmyb;rcuQ6b:npT2md""}",147
72,div,8,,RNNXgb,"{""jsname"": ""RNNXgb"", ""jsaction"": ""click:C6aVhd"", ""data-ved"": ""0ahUKEwjhv47O1_iVAxV3BUQIHamVESsQ3tUDCAY""}",101
73,div,9,,FcQxmf,{},0
74,button,10,,XOUhue,"{""jscontroller"": ""mw06ae"", ""jsname"": ""Ufb5Yc"", ""aria-label"": ""Remove file attachment"", ""hidden"": """", ""tabindex"": ""0"", ""type"": ""button"", ""jsaction"": ""jNhznf:NgonQc;TsIFpc:aGAD7e;keydown:duASZc;focus:Z2y3Eb;blur:h5qwYb;mouseenter:Z2y3Eb;mouseleave:h5qwYb"", ""data-hveid"": ""7"", ""data-ved"": ""0ahUKEwjhv47O1_iVAxV3BUQIHamVESsQvpoSCAc""}",0
75,div,11,,Uouhf,"{""tabindex"": ""-1"", ""jsaction"": ""lMGxTd""}",0
76,img,12,,avHKnc,"{""jsname"": ""tXJWXc"", ""src"": ""data:image/gif;base64,R0lGODlhAQABAID/AMDAwAAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="", ""alt"": ""Thumbnail for file attachment""}",0
77,div,12,,puTIF,{},0
78,div,12,,neurLd,"{""jsname"": ""aZ2wEe"", ""data-hveid"": ""8"", ""data-ved"": ""0ahUKEwjhv47O1_iVAxV3BUQIHamVESsQ2rsOCAg""}",0
79,svg,13,,,"{""aria-hidden"": ""true"", ""height"": ""100%"", ""version"": ""100%"", ""viewbox"": ""0 0 28 28"", ""width"": ""16"", ""xmlns"": ""http://www.w3.org/2000/svg"", ""xmlns:xlink"": ""http://www.w3.org/1999/xlink""}",0
80,g,14,,O35uA,{},0
81,path,15,,tLrs7b,"{""d"": ""M 14,1.5 A 12.5,12.5 0 1 1 1.5,14"", ""fill"": ""none"", ""stroke"": ""currentColor"", ""stroke-linecap"": ""square"", ""stroke-width"": ""3""}",0
82,div,12,,jpQ9s,"{""jsname"": ""tqp7ud""}",0
83,span,13,,tCH3ze z1asCe wuXmqc,{},0
84,svg,14,,,"{""focusable"": ""false"", ""aria-hidden"": ""true"", ""xmlns"": ""http://www.w3.org/2000/svg"", ""viewbox"": ""0 0 24 24""}",0
85,path,15,,,"{""d"": ""M19 6.41L17.59 5 12 10.59 6.41 5 5 6.41 10.59 12 5 17.59 6.41 19 12 13.41 17.59 19 19 17.59 13.41 12z""}",0
86,span,11,,gPW5yd,"{""jsname"": ""wRkGLe""}",0
87,div,9,,SDkEP,{},55
88,div,10,,UMOYhd,"{""jsname"": ""kex3F""}",48
89,div,11,,A7sPV tX61Ub,"{""jscontroller"": ""VtMfj"", ""jsname"": ""aAJgZ"", ""jsdata"": ""I8wsob;_;A11qaqGyEveKkPIPqavG2AI2"", ""jsaction"": ""jNhznf:NgonQc;TsIFpc:aGAD7e;FU8dpd:VH3XBb;by9jW:bfvkpd;pWVKxb:yMLvUd;blur:dOOLne;keydown:nB4eBb""}",48
90,div,12,,y1yadf,"{""jscontroller"": ""jywEkf"", ""data-h"": ""1"", ""data-pos"": ""5"", ""jsaction"": ""focusin:G5WBYc;focusout:rnaDOd;mouseenter:ti6hGc;mouseleave:iAJWH;"", ""jsshadow"": """"}",0
91,span,13,,,"{""jsname"": ""bN97Pc"", ""jsslot"": """", ""data-hveid"": ""9"", ""data-ved"": ""0ahUKEwjhv47O1_iVAxV3BUQIHamVESsQl8ITCAk""}",0
92,button,14,,UbbAWe,"{""jsname"": ""ko0Zye"", ""aria-label"": ""Add files and tools"", ""aria-haspopup"": ""menu"", ""tabindex"": ""0"", ""type"": ""button"", ""jsaction"": ""AO4mJ;blur:dOOLne;keydown:YR8sId"", ""data-ved"": ""0ahUKEwjhv47O1_iVAxV3BUQIHamVESsQ0J0RCAo""}",0
93,span,15,,wPSZBe,{},0
94,svg,16,,,"{""aria-hidden"": ""true"", ""focusable"": ""false"", ""viewbox"": ""0 -960 960 960"", ""xmlns"": ""http://www.w3.org/2000/svg""}",0
95,path,17,,,"{""d"": ""M434.5-434.5H191.87v-91H434.5v-242.63h91v242.63h242.63v91H525.5v242.63h-91V-434.5Z"", ""fill"": ""currentColor""}",0
96,div,12,,oMByyf,"{""data-hveid"": ""11"", ""data-ved"": ""0ahUKEwjhv47O1_iVAxV3BUQIHamVESsQupYSCAs""}",48
97,ul,13,,FHRw9d,"{""role"": ""menu""}",48
98,li,14,,,"{""role"": ""presentation""}",12
99,button,15,,izN7If,"{""role"": ""menuitem"", ""jsname"": ""EBXFob"", ""jsaction"": ""q13TGf"", ""tabindex"": ""0"", ""type"": ""button"", ""data-ved"": ""0ahUKEwjhv47O1_iVAxV3BUQIHamVESsQ1p0RCAw""}",12
100,span,16,,z1asCe,"{""aria-hidden"": ""true"", ""style"": ""height:20px;line-height:20px;width:20px""}",0
101,svg,17,,,"{""focusable"": ""false"", ""aria-hidden"": ""true"", ""xmlns"": ""http://www.w3.org/2000/svg"", ""viewbox"": ""0 -960 960 960"", ""height"": ""24"", ""width"": ""24""}",0
102,path,18,,,"{""d"": ""M480-480ZM200-120q-33,0-56.5-23.5T120-200V-760q0-33 23.5-56.5T200-840H520q0,17 0,37t0,43H200v560H760V-520q23,0 43,0t37,0v320q0,33-23.5,56.5T760-120H200Zm40-160H720L570-480L450-320L360-440L240-280ZM680-600v-80H600v-80h80v-80h80v80h80v80H760v80H680Z""}",0
103,span,16,,,{},12
104,span,16,,bgM5Ee z1asCe rH6l6,"{""style"": ""height:20px;line-height:20px;width:20px""}",0
105,svg,17,,,"{""focusable"": ""false"", ""aria-hidden"": ""true"", ""xmlns"": ""http://www.w3.org/2000/svg"", ""viewbox"": ""0 0 24 24""}",0
106,path,18,,,"{""d"": ""M9 16.17L4.83 12l-1.42 1.41L9 19 21 7l-1.41-1.41z""}",0
107,li,14,,,"{""role"": ""presentation""}",11
108,button,15,,izN7If,"{""role"": ""menuitem"", ""jsname"": ""h0TD3"", ""jsaction"": ""q13TGf"", ""tabindex"": ""0"", ""type"": ""button"", ""data-ved"": ""0ahUKEwjhv47O1_iVAxV3BUQIHamVESsQ1J0RCA0""}",11
109,span,16,,z1asCe,"{""aria-hidden"": ""true"", ""style"": ""height:20px;line-height:20px;width:20px""}",0
110,svg,17,,,"{""focusable"": ""false"", ""aria-hidden"": ""true"", ""xmlns"": ""http://www.w3.org/2000/svg"", ""viewbox"": ""0 -960 960 960"", ""height"": ""24"", ""width"": ""24""}",0
111,path,18,,,"{""d"": ""M720-330q0,104-73,177T470-80T293-153T220-330V-700q0-75 52.5-127.5T400-880t127.5,52.5T580-700v350q0,46-32,78t-78,32t-78-32t-32-78V-720h80v370q0,13 8.5,21.5T470-320t21.5-8.5T500-350V-700q-1-42-29.5-71T400-800t-71,29t-29,71v370q-1,71 49,120.5T470-160q70,0 119-49.5T640-330V-720h80v390Z""}",0
112,span,16,,,{},11
113,span,16,,bgM5Ee z1asCe rH6l6,"{""style"": ""height:20px;line-height:20px;width:20px""}",0
